serul,0
serunda,0
setebal,1
setegak,0
setia,2
setimbang,1
setimbangan,1
setimpal,1
setuju,2
seukur,0
seutuh,1
sewajar,1
sfenoidal,0
sian,0
siang,0
siau,0
sibar,0
sidi,0
sidik,2
sigap,2
signifikan,1
sigot,2
siklis,0
silabis,0
silam,0
silindris,0
simbai,1
simbiotis,1
simbolis,0
simetris,0
simpan,1
simpatik,1
simpel,1
simpleks,1
simtomatis,0
simultan,1
sinau,1
sinematografis,0
sinemikrografik,0
sinergis,2
singkat,0
singset,2
sinkretis,0
sinkron,2
sinkronis,1
sinoptis,1
sinovia,0
sintal,1
sintar,0
sintetis,1
sinusal,0
sinusoid,0
sip,2
sipil,0
sipu,1
sirah,2
sistaltik,0
sistematis,1
sistemis,1
sistolik,0
skematis,0
slebor,0
solak,1
solar,1
solid,2
solider,1
solo,0
solven,1
songgeng,0
sonor,1
sopak,0
sopan,2
sosial,1
sosialistis,0
sosiologis,0
sosionasional,0
span,0
spasial,1
spasmodis,0
spastik,0
spektakuler,2
spesial,2
spesialistis,0
spesifik,1
spiral,0
spiritual,1
spontan,1
sporadis,0
sportif,2
sregep,0
stabil,1
standar,0
statis,0
statistis,1
statuter,1
stereofonik,0
steril,0
steroidal,0
stokastik,2
stomatogastrik,0
strategis,2
struktural,0
suam-suam,0
suang,0
subsider,0
subsonik,0
substansial,1
substitutif,1
subtil,1
subur,2
suceng,1
suci,2
suci hama,1
sugih,2
sugul,0
sukacita,2
sukarela,1
sukaria,2
suki,1
sukses,2
sulah,0
sulap,0
suling,0
sultani,2
sumasi,1
sumeh,0
sumilir,1
sumir,0
sumirat,1
sungguh,2
sungkawa,2
supel,2
super,2
supercepat,1
superfisial,0
superheterodin,2
superlatif,1
superlunar,0
supersonik,1
suportif,2
supramolekuler,0
supranasional,1
surahi,1
surgawi,2
suryani,0
swaharga,0
swak,0
swasta,0
syahda,2
syahdu,1
syahriah,2
syairi,1
syakhsi,1
syamsiah,0
syumuliah,2
taala,2
taat,2
taat asas,2
tabah,2
tabelaris,1
tabii,2
tahir,1
tais,2
tajam,1
takah,1
takah-takahnya,0
takat,1
takjub,2
taksir,1
taktil,0
taktis,1
takzim,2
tamam,2
taman,0
tamatulkalam,0
tampus,0
tangguh,2
tanggung-tanggung,1
tangkas,2
tapa,1
tapis,1
tarah,0
tauhidiah,2
tawaduk,2
tayibah,2
teatris,0
tebal,1
teduh,2
tegak,1
tegak-tegak,0
tegas,1
teguh,2
teguk,1
tegun,1
tekek,0
teknis,0
teknokratik,0
tekstural,1
tektonis,0
tekun,2
tela,0
telak,2
telaten,2
teledor,0
telegenik,0
telegrafis,0
telik,1
teliti,2
telus,0
telut,1
temara,1
tembam,1
temetu,0
tentatif,1
tenteram,2
teokratis,0
teologis,1
teoretis,0
teosofis,0
tepa salira,1
tepas,1
tepat,2
tepercaya,2
tepermanai (tiada permana ),1
tepu,0
teradil,2
terala,2
teramai,2
terampil,2
terang,2
teranja-anja,0
terbagus,1
terbancut,0
terbanyak,1
terbaru,1
terbayan,1
terbengang,0
terbesar,2
terbeti,1
tercantik,2
terdahulu,0
terdekat,0
terdepan,2
terenak,2
tergulut,0
tergulut-gulut,0
terhormat,2
terindah,2
terindil,0
terinfeksi,0
terionisasi,0
teristimewa,2
teritorial,1
terjumbai,1
terkaing-kaing,2
terkanan,0
terkaya,1
terkayai,1
terkemudian,2
terkemuka,1
terlaris,2
terlatih,1
terlayak,2
terleka,1
terlembut,2
terluang,0
terluluk,1
terlut,1
termaestesia,0
termal,2
termala,0
termasyhur,1
termata-mata,0
termodern,1
termodinamis,0
termoelektris,0
termolabil,0
termuda,0
termulia,0
terpana,2
terpintar,2
terpuji,2
tersabar,2
terserat,1
tersirah,1
terteleng,0
terteleng-teleng,0
tertentu,1
tertib,2
tertinggi,0
terulur,1
terus,1
tetal,0
teteh,1
tiap-tiap,0
timbal,0
timpus,0
tinggi,1
tipologis,1
tiris,0
tirus,1
tis,0
tituler,0
tokcer,2
toleran,1
tonik,0
top,2
topografis,0
totaliter,0
totok,1
trakeid,0
transendental,1
transformatif,2
transgenik,0
transitif,0
translusens,0
transnasional,1
transonik,0
transparan,1
trendi,1
trengginas,1
trenyuh,1
trigemius,2
trikuspid,0
tropis,1
tua-tua,0
tujul,1
tulen,2
tulus,2
tumpat,0
tunagrahita,0
tunggang,0
tuntas,2
turangga,0
turistik,0
ubet,2
ubudiah,2
udam,2
udar,0
ugahari,0
ukhrawi,2
ulet,2
uli,0
ultramodern,1
ulung,2
umbul,0
umun,1
undung-undung,0
unggal,1
unik,1
unilateral,0
unilineal,0
unilinear,0
uniseluler,0
universal,0
universiter,0
unsuri,0
untung,2
urai,1
utama,2
utuh,1
valid,2
variatif,1
vaskular,0
vasomotor,0
vegetaris,1
velar,0
verbalistis,0
verbatim,0
verstek,0
vertikal,0
veteriner,0
viabel,1
virilis,0
virulen,0
visibel,2
visual,1
vital,0
vokal bawah,0
volatil,0
vulkanis,0
wadi,0
wafak,1
wahdaniah,2
wajar,1
walafiat,2
wantah,1
waras,1
waris,1
waskita,2
waswas,2
waterpruf,0
weduk,0
wekel,1
westernis,0
wigata,0
wira,1
witir,2
wosi,0
wreda,0
wungu,0
xifoid,0
xiloid,1
yakin,2
yogia,2
yudikatif,0
yudisial,0
yuvenil,1
zakelek,1
zakiah,2
zalir,0
zimotik,0
